microseconds,tokens ahead,probability ahead,probability score
278,2,0.3325931,0.11510066
278,10,0.4706301,0.016631842
280,0,0.0,0.39032075
282,24,0.6639298,0.0070909485
281,0,0.0,0.3148787
282,0,0.0,0.19026113
284,1,0.17764257,0.1380582
294,30,0.78681195,0.0033850074
279,0,0.0,0.4030614
1154,0,0.0,0.32728824
31791,6230,0.9997218,1.10801516e-7
1834,0,0.0,0.9198733
309,18,0.85960287,0.0053451387
282,0,0.0,0.8254679
318,3,0.41335028,0.10407449
298,0,0.0,0.59527713
285,0,0.0,0.25816286
288,2,0.4807834,0.07421881
282,36,0.80066645,0.0021345478
277,1,0.65025014,0.2057803
294,1,0.12878089,0.12251405
314,0,0.0,0.7619526
298,2,0.23719859,0.107153945
293,2,0.49314228,0.070718095
286,1,0.24905139,0.12592287
280,6,0.8130744,0.03743682
302,0,0.0,0.43918425
285,0,0.0,0.2832377
28582,11,0.5822568,0.019161217
1929,1,0.18596074,0.12224552
308,0,0.0,0.50207084
282,6,0.45185262,0.019896148
286,4,0.39319813,0.05080843
279,264,0.90767145,0.00021460652
297,0,0.0,0.23603146
280,2,0.3322764,0.149428
285,7,0.68934286,0.027210843
277,2,0.3224094,0.12465116
283,3,0.61490726,0.054993723
286,0,0.0,0.23926565
276,1,0.124583386,0.10954068
324,3,0.8961058,0.041004594
330,3,0.666903,0.104707055
296,1,0.27999797,0.19671273
283,0,0.0,0.93652105
27946,121,0.92962265,0.0006256326
1944,13,0.90294576,0.0064242575
307,9,0.64369524,0.022611259
300,0,0.0,0.8627004
348,6,0.5159421,0.033384316
274,2,0.27693376,0.06478484
280,1,0.84769857,0.09205433
276,0,0.0,0.68395036
301,2,0.31453207,0.040711552
272,1,0.35362077,0.17376044
284,15,0.5291795,0.013989721
278,59,0.77724206,0.0021761928
1287,0,0.0,0.9945311
284,1,0.26018015,0.13358739
280,0,0.0,0.9996407
281,5,0.85102224,0.036231145
289,2,0.3720553,0.092453614
307,0,0.0,0.35194728
292,3,0.36735883,0.06347951
278,0,0.0,0.7340031
278,0,0.0,0.9995814
277,0,0.0,0.26503724
287,0,0.0,0.18574432
280,0,0.0,0.9408617
293,0,0.0,0.96820134
28941,5,0.5075961,0.026627723
1883,2,0.20482345,0.067525305
306,0,0.0,0.69639504
277,0,0.0,0.79030615
284,0,0.0,0.9874128
279,0,0.0,0.44276172
276,1,0.7870902,0.052115522
284,0,0.0,0.71084154
276,0,0.0,0.9861945
308,2,0.5572455,0.13683468
281,0,0.0,0.9386984
281,1,0.48627508,0.44894248
280,0,0.0,0.9999639
280,1,0.9998987,0.000074388256
279,0,0.0,0.9303683
279,0,0.0,0.9999659
286,0,0.0,0.9998752
1280,0,0.0,0.9997737
341,0,0.0,0.38549837
294,7,0.5670904,0.02410934
283,0,0.0,0.6442813
302,0,0.0,0.997529
432,0,0.0,0.3987476
321,0,0.0,0.6952384
286,1,0.7417079,0.20017016
364,0,0.0,0.9704836
345,0,0.0,0.5967935
290,0,0.0,0.9928358
283,0,0.0,0.9936279
309,0,0.0,0.9891672
282,5,0.87150574,0.03529978
292,0,0.0,0.4314923
285,0,0.0,0.9169773
291,0,0.0,0.58609885
283,0,0.0,0.98796266
285,0,0.0,0.9940509
280,0,0.0,0.99040437
30792,4,0.8691388,0.028619362
1827,2,0.43308967,0.05168657
301,0,0.0,0.99880505
291,0,0.0,0.99977404
282,7,0.79858184,0.028130325
284,3,0.5054293,0.02793943
283,3,0.31533247,0.046187535
295,1,0.40688047,0.27059168
326,0,0.0,0.80763954
315,0,0.0,0.619953
293,30,0.8152951,0.0035797707
287,1,0.7235179,0.21584634
293,7,0.7724787,0.016530747
286,5,0.8375702,0.03241391
1199,0,0.0,0.8543179
289,2,0.6640189,0.03668883
285,5,0.6161585,0.04559904
285,0,0.0,0.79343146
294,0,0.0,0.49702564
580,1,0.37479126,0.18893899
359,4,0.7154515,0.06958641
296,1,0.4463498,0.18607089
18369,0,0.0,0.24062052
1950,9,0.8783885,0.016332895
327,0,0.0,0.5256394
279,35,0.799871,0.0034202624
274,29,0.9432298,0.0016337429
428,1,0.14977321,0.11843315
1272,8,0.9580865,0.0030228354
296,0,0.0,0.909896
302,1,0.36753526,0.1120168
354,0,0.0,0.13271967
292,11,0.58041996,0.015121609
275,0,0.0,0.4580185
279,0,0.0,0.98915595
279,0,0.0,0.9858438
274,0,0.0,0.5043398
273,0,0.0,0.20183042
322,0,0.0,0.9993012
357,0,0.0,0.9238662
300,2,0.6969204,0.059352405
294,0,0.0,0.7734472
274,0,0.0,0.9920561
271,2,0.78717184,0.063575126
275,0,0.0,0.84057033
275,0,0.0,0.94024706
277,0,0.0,0.99998283
279,0,0.0,0.9999871
277,0,0.0,1.0
273,1,0.6257658,0.37087488
274,0,0.0,0.9999999
282,0,0.0,0.99998856
277,0,0.0,0.9999943
274,0,0.0,0.9998903
277,14,0.4736231,0.01272504
274,2,0.70096624,0.09996637
273,0,0.0,0.8682686
281,0,0.0,0.58933026
352,0,0.0,0.57220656
291,1,0.6442346,0.12190572
28126,3,0.36232984,0.07393323
1775,0,0.0,0.4962209
298,0,0.0,0.3073781
288,4,0.62543595,0.030165462
282,2,0.57074404,0.1563781
287,3,0.84282535,0.016828801
1221,105,0.9820148,0.0001668676
344,0,0.0,0.81428105
304,0,0.0,0.58840996
294,0,0.0,0.8032927
282,7,0.6449848,0.011935725
295,1,0.22958596,0.16771226
282,38,0.33601987,0.0044751605
285,21,0.78712285,0.010328095
401,0,0.0,0.3782403
361,76,0.82450473,0.0016666111
293,3,0.31330615,0.045440946
288,3,0.5913984,0.052573867
365,1,0.9706678,0.0152536435
311,0,0.0,0.8490426
288,5,0.350824,0.020781444
286,0,0.0,0.5608216
280,2,0.61681116,0.054624926
278,10,0.70762557,0.020038912
283,0,0.0,0.7950343
277,0,0.0,0.34751105
297,1,0.7735669,0.0867472
14360,81,0.77750635,0.001139755
1789,59,0.71748406,0.0018983106
274,0,0.0,0.8890241
270,0,0.0,0.27142763
273,0,0.0,0.81219256
271,5,0.28037533,0.02304514
264,0,0.0,0.99215287
271,0,0.0,0.3864363
267,2,0.8327813,0.016107116
265,0,0.0,0.3802872
1094,0,0.0,0.9971445
283,0,0.0,0.40062228
275,0,0.0,0.86448973
267,0,0.0,0.7825635
285,0,0.0,0.9999399
343,0,0.0,0.99995255
272,0,0.0,0.99999917
266,1,0.59290797,0.3853125
270,0,0.0,0.9999999
265,0,0.0,0.99998856
267,0,0.0,0.99999785
264,0,0.0,0.9995751
267,400,0.94027853,0.00015159106
268,0,0.0,0.48621467
31052,2,0.33992165,0.074145384
1895,1,0.18307269,0.15538496
300,0,0.0,0.98948544
313,0,0.0,0.24767902
283,0,0.0,0.9863733
1122,0,0.0,0.9981499
287,0,0.0,0.99844104
372,0,0.0,0.64574254
302,4,0.64852804,0.052334342
295,2,0.89249796,0.031250507
336,0,0.0,0.98858136
350,15,0.9144895,0.007464417
295,0,0.0,0.6354864
283,0,0.0,0.54118735
288,0,0.0,0.9997346
284,34,0.96900415,0.0016971773
282,0,0.0,0.97746617
292,0,0.0,0.6407339
284,0,0.0,0.526405
286,0,0.0,0.99943763
279,0,0.0,0.9986349
283,1,0.3885814,0.111280434
278,1,0.5370676,0.44994777
281,1,0.36291498,0.110407874
282,0,0.0,0.98635745
282,0,0.0,0.9992409
281,1,0.5845006,0.2589208
282,0,0.0,0.53943866
278,0,0.0,0.5203133
282,0,0.0,0.99996865
284,0,0.0,0.9999882
284,0,0.0,0.9999999
281,1,0.5030902,0.4895071
296,0,0.0,1.0
288,0,0.0,0.9999958
281,0,0.0,0.99999404
288,0,0.0,0.999923
1443,548,0.97777325,0.000049641985
408,2,0.2647844,0.054386783
327,4,0.48691,0.07158152
315,59,0.9112861,0.0014995816
305,0,0.0,0.5858168
301,0,0.0,0.51686925
25807,5,0.71228004,0.040043537
1955,3,0.4040018,0.06568706
334,1,0.33630466,0.14862895
296,178,0.98418474,0.0000704728
289,6,0.64688945,0.031979393
290,201,0.9644015,0.00013893079
283,0,0.0,0.45539078
290,5,0.9055462,0.015280838
287,0,0.0,0.98370785
277,4,0.42697558,0.05997801
1235,13,0.6056853,0.01848522
381,1,0.42768633,0.07861904
491,0,0.0,0.34075922
337,0,0.0,0.94208694
322,1,0.14935118,0.14366484
346,0,0.0,0.3645913
323,0,0.0,0.78485656
308,3,0.56494385,0.068296984
308,13,0.54031724,0.011124884
293,0,0.0,0.8658482
418,6,0.77606785,0.022086807
368,7,0.47238168,0.022922946
347,0,0.0,0.49892145
355,0,0.0,0.8063621
316,1,0.24620461,0.22504902
305,4,0.7574875,0.04356945
31664,7,0.6778945,0.020916404
2170,0,0.0,0.69849813
356,22,0.8829697,0.0036017518
336,0,0.0,0.6448548
328,0,0.0,0.9998282
301,6,0.7628156,0.018998234
301,1,0.08824249,0.08067016
301,9,0.5008543,0.016107805
356,0,0.0,0.34079412
386,0,0.0,0.99865973
322,4,0.7414894,0.047823396
305,118,0.9365544,0.00033009239
310,12,0.7694894,0.010753008
298,928,0.9780444,0.000020017655
295,6,0.5439785,0.019384557
292,5,0.6341825,0.038881693
287,0,0.0,0.41999626
289,0,0.0,0.40292215
284,1,0.47287735,0.3549878
299,1,0.6950914,0.0422831
287,1,0.318469,0.09449185
288,2,0.26502433,0.07688863
287,2,0.50138307,0.16708773
297,0,0.0,0.6793811
284,135,0.96084005,0.0001909924
291,2,0.36182794,0.11955564
1333,0,0.0,0.6574183
419,0,0.0,0.99651116
385,12,0.87576383,0.008034733
352,0,0.0,0.27754965
334,4,0.6606569,0.05771169
28560,3,0.6490279,0.021803726
1902,25,0.6752118,0.0050146263
312,0,0.0,0.14329505
285,60,0.7452352,0.0018783886
315,1,0.81989413,0.024040548
302,0,0.0,0.99453473
296,0,0.0,0.9997824
284,0,0.0,0.7590819
281,6,0.607365,0.02910544
283,0,0.0,0.3383868
281,0,0.0,0.5039034
298,0,0.0,0.9271596
283,1,0.8501844,0.072926775
279,0,0.0,0.99978775
286,0,0.0,0.99986756
282,2,0.99990267,0.000011588377
300,0,0.0,0.85177284
277,0,0.0,0.999918
286,0,0.0,0.99752206
279,0,0.0,0.9980708
281,0,0.0,0.17229266
281,0,0.0,0.9421494
25936,139,0.9245975,0.00027424353
1864,2,0.74061537,0.20708407
309,1,0.13991547,0.11191967
276,2,0.10819526,0.0408271
278,39,0.7151997,0.0031185157
283,24,0.7519826,0.003381677
1096,0,0.0,0.8468846
284,17,0.9725154,0.0016596324
